Clase de activo;Retorno compuesto;Retorno aritmetico
U.S. Inflation;0.025;0.0252
U.S. Cash;0.031;0.031
U.S. Intermediate Treasuries;0.04;0.0406
U.S. Long Treasuries;0.049;0.056900000000000006
TIPS;0.043;0.0447
U.S. Aggregate Bonds;0.048;0.049100000000000005
U.S. Securitized;0.052000000000000005;0.0528
U.S. Short Duration Government/Credit;0.04;0.0401
U.S. Long Duration Government/Credit;0.052000000000000005;0.0581
U.S. Inv Grade Corporate Bonds;0.052000000000000005;0.0546
U.S. Long Corporate Bonds;0.054000000000000006;0.061
U.S. High Yield Bonds;0.061;0.0646
U.S. Leveraged Loans;0.066;0.0688
World Government Bonds hedged;0.043;0.0438
World Government Bonds;0.043;0.0455
World ex-U.S. Government Bonds hedged;0.042;0.042699999999999995
World ex-U.S. Government Bonds;0.043;0.046900000000000004
Emerging Markets Sovereign Debt;0.063;0.0666
Emerging Markets Local Currency Debt;0.067;0.0738
Emerging Markets Corporate Bonds;0.061;0.0637
U.S. Muni 1-15 Yr Blend;0.038;0.0388
U.S. Muni High Yield;0.053;0.056600000000000004
U.S. Large Cap;0.067;0.0794
U.S. Mid Cap;0.07;0.0855
U.S. Small Cap;0.069;0.0889
Euro Area Large Cap;0.078;0.09939999999999999
Japanese Equity;0.08800000000000001;0.09910000000000001
Hong Kong Equity;0.07400000000000001;0.0943
UK Large Cap;0.066;0.0799
EAFE Equity;0.075;0.08900000000000001
Chinese Domestic Equity;0.077;0.11230000000000001
Emerging Markets Equity;0.078;0.0974
AC Asia ex-Japan Equity;0.079;0.0983
AC World Equity;0.07;0.0828
U.S. Equity Value Factor;0.077;0.0911
U.S. Equity Momentum Factor;0.076;0.0891
U.S. Equity Quality Factor;0.066;0.0764
U.S. Equity Minimum Volatility Factor;0.07;0.0779
U.S. Equity Dividend Yield Factor;0.075;0.08710000000000001
Global Convertible Bonds hedged;0.067;0.0728
U.S. Core Real Estate;0.08199999999999999;0.08789999999999999
U.S. Value-Added Real Estate;0.10099999999999999;0.11720000000000001
European Core Real Estate;0.069;0.07769999999999999
Asia Pacific Core Real Estate;0.084;0.0955
U.S. REITs;0.08800000000000001;0.1015
Commercial Mortgage Loans;0.062;0.065
Global Core Infrastructure;0.065;0.0699
Global Core Transport;0.079;0.0864
Global Timberland;0.063;0.06709999999999999
Commodities;0.046;0.061500000000000006
Gold;0.055;0.0678
Private Equity;0.102;0.1191
Venture Capital;0.085;0.1066
Diversified Hedge Funds;0.053;0.0546
Event Driven Hedge Funds;0.052000000000000005;0.055
Long Bias Hedge Funds;0.055;0.0608
Relative Value Hedge Funds;0.057;0.0584
Macro Hedge Funds;0.040999999999999995;0.0433
Direct Lending;0.077;0.0859
